English,Hindi,Marathi,Sanskrit
Lung Capacity,फेफड़े की क्षमता,फुफ्फुस क्षमता,प्राणपिंड क्षमता
Asthma,दमा,दमा,अस्थमा
Allergy,एलर्जी,अॅलर्जी,अलिंगी
Bronchitis,ब्रोंकाइटिस,ब्रॉन्कायटिस,ब्रोंकाइटिस
Pneumonia,न्युमोनिया,न्यूमोनिया,न्युमोनिया
Tuberculosis,क्षय रोग,क्षयरोग,क्षयरोग
Heart,हृदय,हृदय,हृदय
Cardiologist,हृदय विशेषज्ञ,हृदय विशेषज्ञ,हृदयरोगविशेषज्ञ
Electrocardiogram,इलेक्ट्रोकार्डियोग्राम,इलेक्ट्रोकार्डियोग्राम,इलेक्ट्रहृदयरूपरेखा
Blood Pressure,रक्तचाप,रक्तदाब,रक्तस्यम
Hypertension,उच्च रक्तचाप,उच्च रक्तदाब,उच्चरक्तदाब
Hypotension,निम्न रक्तचाप,कमी रक्तदाब,निम्नरक्तदाब
Cholesterol,कोलेस्ट्रॉल,कोलेस्ट्रॉल,स्तरीक
Triglycerides,ट्राइग्लिसराइड,त्रिस्निग्ध,त्रिस्निग्ध
Heart Attack,हृदयाघात,हृदयविकार,हृदयाघात
Stroke,स्ट्रोक,स्ट्रोक,स्मृतिाघात
Arrhythmia,अनियमित हृदय गति,अनियमित हृदय गती,असाम्य हृदयगति
Pacemaker,पेसमेकर,पेसमेकर,हृदयगतिकंत्र
Valve,वाल्व,वाल्व,वाल्व
Aorta,एओर्टा,एओर्टा,महाधमनी
Coronary Artery,कोरोनरी धमनी,कोरोनरी धमनी,हृदयधमनी
Ventricle,वेंट्रिकल,वेंट्रिकल,हृदयगह्वर
Atrium,एट्रियम,एट्रियम,हृदयकक्ष
Heart Rate,हृदय गति,हृदय गती,हृदयकंपी
Pulse,नाड़ी,नाडी,नाडी
Electrocardiogram,इलेक्ट्रोकार्डियोग्राम,इलेक्ट्रोकार्डियोग्राम,इलेक्ट्रहृदयरूपरेखा
Lipid,लिपिड,लिपिड,स्निग्ध
Fat,वसा,स्निग्ध,स्निग्ध
Obesity,मोटापा,अतिवजन,स्थूलता
Weight,वजन,वजन,भार
BMI,बीएमआई,बीएमआय,शरीर सूचकांक
Exercise,व्यायाम,व्यायाम,व्यायाम
Diet,आहार,आहार,आहार
Nutrition,पोषण,पोषण,आहार
Vitamin,विटामिन,व्हिटॅमिन,विटामिन
Mineral,खनिज,खनिज,अयस्क
Protein,प्रोटीन,प्रथिन,प्रोटीन
Carbohydrate,कार्बोहाइड्रेट,कार्बोहायड्रेट,साथ्य
Fiber,फाइबर,सांद्र,स्निग्ध
Fat,वसा,स्निग्ध,स्निग्ध
Sugar,शर्करा,साखर,शर्करा
Salt,नमक,मीठ,लवण
Water,पानी,पाणी,जल
Electrolyte,इलेक्ट्रोलाइट,इलेक्ट्रोलाइट,विद्युतपदार्थ
Sodium,सोडियम,सोडियम,सोडियम
Potassium,पोटेशियम,पोटॅशियम,पोटाश
Calcium,कैल्शियम,कॅल्शियम,स्निग्धधातु
Magnesium,मैग्नीशियम,मॅग्नेशियम,मैग्नीशियम
Chloride,क्लोराइड,क्लोराइड,क्लोर
Phosphate,फॉस्फेट,फॉस्फेट,फॉस्फेट
Iron,लोह,लोह,लौह
Zinc,जिंक,झिंक,ताम्र
Copper,तांबा,तांबे,ताम्र
Neuron,तंत्रिका कोशिका,स्नायु पेशी,स्नायु कणिका
Axon,ऐक्सॉन,अक्सॉन,अक्स
Dendrite,डेंड्राइट,डेंड्राइट,डेंड्राइट
Synapse,सिनैप्स,सिनॅप्स,सिनैप्स
Neurotransmitter,तंत्रिका संदेशवाहक,स्नायु संदेशवाहक,स्नायु संदेशवाहक
Central Nervous System,केंद्रीय तंत्रिका तंत्र,केंद्रीय स्नायु तंत्र,केंद्रीय तंत्रिका
Peripheral Nervous System,प्रत्येक तंत्रिका तंत्र,परिधीय स्नायु तंत्र,परिधीय तंत्रिका
Brain,मस्तिष्क,मेंदू,मस्तिष्क
Cerebrum,महामस्तिष्क,सर्वमस्तिष्क,सर्वमस्तिष्क
Cerebellum,छोटा मस्तिष्क,लघु मेंदू,छोटा मस्तिष्क
Medulla Oblongata,मेडुला ऑब्लॉन्गाटा,मेडुला ऑब्लॉन्गाटा,मेदुला
Spinal Cord,मेरुरज्जु,मध्यरीष,मेरुरज्जु
Gray Matter,स्नायु ग्रे मैटर,स्नायु ग्रे मटेर,स्नायु श्वेत
White Matter,स्नायु श्वेत मैटर,स्नायु पांढरी मटेर,स्नायु श्वेत
Motor Neuron,संचालक तंत्रिका कोशिका,संचालक स्नायु पेशी,संचालक तंत्रिका
Sensory Neuron,संवेदी तंत्रिका कोशिका,संवेदी स्नायु पेशी,संवेदी तंत्रिका
Reflex,रिफ्लेक्स,अप्रत्यक्ष प्रतिसाद,प्रतिक्रिया
Spinal Reflex,मेरुरज्जु रिफ्लेक्स,रीष प्रतिसाद,मेरुरज्जु प्रतिक्रिया
Cranial Nerve,सिर की तंत्रिका,मस्तकाची स्नायु,मस्तक तंत्रिका
Vagus Nerve,वागस तंत्रिका,वागस तंत्रिका,वागस तंत्रिका
Optic Nerve,ऑप्टिक तंत्रिका,दृष्टी तंत्रिका,दृष्टि तंत्रिका
Olfactory Nerve,घ्राण तंत्रिका,घ्राण तंत्रिका,घ्राण तंत्रिका
Auditory Nerve,श्रवण तंत्रिका,श्रवण तंत्रिका,श्रवण तंत्रिका
Sympathetic Nervous System,सहानुभूति तंत्रिका तंत्र,सहानुभूति स्नायु तंत्र,सहानुभूति तंत्रिका
Parasympathetic Nervous System,पैरासंपेथेटिक तंत्रिका तंत्र,पॅरासंपेथेटिक स्नायु तंत्र,पारासंपेथेटिक तंत्रिका
Neuron Firing,तंत्रिका सक्रियता,स्नायु क्रिया,स्नायु प्रज्वलन
Action Potential,क्रिया संभावना,क्रिया संभाव्यता,क्रिया संभावना
Resting Potential,विश्राम संभावना,विश्रांती संभाव्यता,विश्रांति संभावना
Myelin Sheath,माइलिन आवरण,मायलिन आवरण,मायलिन आवरण
Neuroglia,स्नायु सहायक,स्नायु सहायक,स्नायु सहायक
Astrocyte,एस्ट्रोसाइट,एस्ट्रोसाइट,एस्ट्रोसाइट
Oligodendrocyte,ओलिगोडेंड्रोसाइट,ओलिगोडेंड्रोसाइट,ओलिगोडेंड्रोसाइट
Microglia,माइक्रोग्लिया,माइक्रोग्लिया,माइक्रोग्लिया
Schwann Cell,श्वान कोशिका,श्वान पेशी,श्वान कोशिका
Brainstem,मस्तिष्क तना,मेंदू तना,मस्तिष्क तना
Hypothalamus,हाइपोथैलेमस,हायपोथॅलॅमस,हाइपोथैलेमस
Thalamus,थैलेमस,थॅलेमस,थैलेमस
Pituitary Gland,पिट्यूटरी ग्रंथि,पिट्यूटरी ग्रंथी,हाइपोफिज
Adrenal Gland,अधिवृक्क ग्रंथि,अधिवृक्क ग्रंथी,अधिवृक्क
Pancreas,अग्न्याशय,अग्न्याशय,अग्न्याशय
Thyroid,थायरॉयड,थायरॉइड,थायरॉइड
Parathyroid,पैराथायरॉइड,पॅराथायरॉइड,पैराथायरॉइड
Endocrine System,अंतःस्रावी तंत्र,अंतःस्रावी प्रणाली,अंतःस्रावी
Exocrine Gland,बहिर्स्रावी ग्रंथि,बाह्यस्रावी ग्रंथी,बहिर्स्रावी
Hormone Secretion,हार्मोन स्राव,हार्मोन स्राव,हॉर्मोन स्राव
Growth Hormone,वृद्धि हार्मोन,वाढ हार्मोन,वृद्धि हार्मोन
Thyroxine,थायरॉक्सिन,थायरॉक्सिन,थायरॉक्सिन
Insulin,इंसुलिन,इन्सुलिन,इंसुलिन
Glucagon,ग्लुकागॉन,ग्लुकागॉन,ग्लुकागॉन
Cortisol,कॉर्टिसोल,कॉर्टिसोल,कॉर्टिसोल
Adrenaline,एड्रेनालाईन,एड्रेनालाईन,अधिवृक्कस्राव
Noradrenaline,नॉरएड्रेनालाईन,नॉरएड्रेनालाईन,नॉरअधिवृक्क
Melatonin,मेलाटोनिन,मेलाटोनिन,मेलाटोनिन
Sex Hormones,लिंग हार्मोन,लैंगिक हार्मोन,लिङ्गहार्मोन
Estrogen,एस्ट्रोजन,इस्ट्रोजेन,एस्ट्रोजन
Progesterone,प्रोजेस्टेरोन,प्रोजेस्टेरॉन,प्रोजेस्टेरोन
Testosterone,टेस्टोस्टेरोन,टेस्टोस्टेरॉन,टेस्टोस्टेरोन
Reproductive System,प्रजनन तंत्र,प्रजनन प्रणाली,प्रजनन
Ovary,अंडाशय,अंडाशय,अंडाशय
Testis,अंडकोष,अंडकोष,वृषण
Uterus,गर्भाशय,गर्भाशय,गर्भाशय
Fallopian Tube,फैलोपियन ट्यूब,फॅलोपियन ट्यूब,फैलोपियन नली
Sperm,वीर्य,वीर्य,वीर्य
Egg Cell,अंडाणु कोशिका,अंडाणु पेशी,अंडाणु कणिका
Fertilization,उर्वरक,अंडग्रहण,गर्भाधान
Pregnancy,गर्भावस्था,गर्भधारणा,गर्भावस्था
Menstruation,मासिक धर्म,मासिक पाळी,मासिकधर्म
Placenta,गर्भाशय,गर्भपटल,प्लेसेंटा
Cardiovascular System,हृदय और रक्त वाहिकाएं,हृदय आणि रक्तवाहिन्या,हृदयसंस्थ
Heart,हृदय,हृदय,हृदय
Aorta,एओर्टा,एओर्टा,महाधमनी
Vena Cava,शिरा गहा,शिरा गहा,शिरा
Artery,धमनी,धमनी,धमनी
Vein,शिरा,शिरा,शिरा
Capillary,केशिका,केशिका,केशिका
Blood,रक्त,रक्त,रक्त
Plasma,रक्त प्लाज्मा,रक्त प्लाझ्मा,रक्त प्लाज्मा
Red Blood Cell,लाल रक्त कोशिका,लाल रक्त पेशी,लाल रक्त कणिका
White Blood Cell,सफेद रक्त कोशिका,पांढरी रक्त पेशी,श्वेत रक्त कणिका
Platelet,रक्त प्लेटलेट,रक्त प्लेटलेट,रक्त कण
Hemoglobin,हीमोग्लोबिन,हीमोग्लोबिन,हीमोग्लोबिन
Blood Pressure,रक्तचाप,रक्तदाब,रक्तदाब
Systolic Pressure,सिस्टोलिक दबाव,सिस्टोलिक दाब,सिस्टोलिक दबाव
Diastolic Pressure,डायस्टोलिक दबाव,डायस्टोलिक दाब,डायस्टोलिक दबाव
Pulse,नाड़ी,नाडी,नाड़ी
Electrocardiogram,इलेक्ट्रोकार्डियोग्राम,इलेक्ट्रोकार्डियोग्राम,इलेक्ट्रोकार्डियोग्राम
Arrhythmia,अतालता,अतालता,अतालता
Myocardium,हृदय मांसपेशी,हृदय पेशी,हृदयमांस
Endocardium,अंत:हृदय,अंत:हृदय,अंत:हृदय
Pericardium,हृदयावरण,हृदयावरण,हृदयावरण
Coronary Artery,कोरोनरी धमनी,कोरोनरी धमनी,कोरोनरी धमनी
Valves,वाल्व,वाल्व,वाल्व
Atrioventricular Valve,एट्रियोवेंट्रिकुलर वाल्व,एट्रियोव्हेंट्रिकुलर वाल्व,एट्रियोवेंट्रिकुलर वाल्व
Semilunar Valve,सेमिल्यूनर वाल्व,अर्धचंद्राकार वाल्व,अर्धचन्द्राकार वाल्व
Pulmonary Valve,फुफ्फुस वाल्व,फुफ्फुस वाल्व,फुफ्फुस वाल्व
Aortic Valve,एओर्टिक वाल्व,एओर्टिक वाल्व,महाधमनी वाल्व
Blood Circulation,रक्त परिसंचरण,रक्ताभिसरण,रक्तपरिसंचरण
Pulmonary Circulation,फुफ्फुस परिसंचरण,फुफ्फुस परिसंचरण,फुफ्फुस परिसंचरण
Systemic Circulation,सिस्टमिक परिसंचरण,सिस्टमिक परिसंचरण,सिस्टमिक परिसंचरण
Coronary Circulation,कोरोनरी परिसंचरण,कोरोनरी परिसंचरण,कोरोनरी परिसंचरण
Respiratory System,श्वसन तंत्र,श्वसन प्रणाली,श्वसन
Lungs,फेफड़े,फुफ्फुस,फुफ्फुस
Trachea,श्वासनली,श्वासनली,श्वासनली
Bronchi,ब्रॉन्की,ब्रॉन्की,ब्रॉन्की
Alveoli,एवियोली,अल्व्हेओली,अल्व्हेओली
Diaphragm,हृदयपटल,उदर पटल,हृदयपटल
Oxygen,ऑक्सीजन,ऑक्सिजन,ऑक्सीजन
Carbon Dioxide,कार्बन डाइऑक्साइड,कार्बन डायऑक्साइड,कार्बन डाइऑक्साइड
Inhalation,श्वास लेना,श्वास घेणे,प्रश्वसन
Exhalation,श्वास छोड़ना,श्वास सोडणे,उत्स्वसन
Respiration,श्वसन,श्वसन,श्वसन
Asthma,अस्थमा,अस्थमा,अस्थमा
Chronic Obstructive Pulmonary Disease,दीर्घकालिक रुकावट फुफ्फुस रोग,दीर्घकालीन अडथळा फुफ्फुस रोग,दीर्घकालिक श्वसनरोग
Emphysema,एम्फिसिमा,एम्फिसीमा,एम्फिसिमा
Bronchitis,ब्रॉन्काइटिस,ब्रॉन्काइटिस,ब्रॉन्काइटिस
Pneumonia,न्यूमोनिया,न्यूमोनिया,न्यूमोनिया
Influenza,इन्फ्लूएंजा,इन्फ्लूएंझा,इन्फ्लूएंजा
Cough,खाँसी,खोकला,कास
Sneeze,छींक,शिंकी,सिंक्षण
Fever,बुखार,ताप,ज्वर
Immune System,प्रतिरक्षा तंत्र,प्रतिरक्षण प्रणाली,प्रतिरक्षा
Antigen,प्रतिजन,प्रतिजन,प्रतिजन
Antibody,एंटीबॉडी,प्रतिशरीर,प्रतिशरीर
Lymph,लसिका,लसिका,लस
Lymph Node,लसिका ग्रंथि,लसिका ग्रंथी,लसिका कण
T-Cell,टी-कोशिका,टी-सेल,टी-कोशिका
B-Cell,बी-कोशिका,बी-सेल,बी-कोशिका
Macrophage,मैक्रोफेज,मैक्रोफेज,विशालभक्षी
Phagocytosis,फागोसाइटोसिस,फागोसाइटोसिस,भक्ष्यकोष
Inflammation,सूजन,सूज,सूजन
Allergy,एलर्जी,अॅलर्जी,अलर्जी
Autoimmune Disease,स्वप्रतिरक्षित रोग,स्वप्रतिरक्षक रोग,स्वप्रतिरक्षित रोग
Vaccination,टीकाकरण,लस,टीकाकरण
Digestive System,पाचन तंत्र,पचन प्रणाली,अन्ननली
Mouth,मुँह,तोंड,मुख
Teeth,दांत,दात,दन्त
Tongue,जुबान,जिभ,जिव्हा
Salivary Glands,लार ग्रंथियां,लाळ ग्रंथी,लार ग्रंथी
Esophagus,अन्ननली,अन्ननलिका,अन्ननली
Stomach,पेट,पोट,उदर
Small Intestine,छोटी आंत,लहान आतडं,लघू आत
Duodenum,ड्यूडेनम,ड्यूडेनम,ड्यूडेनम
Jejunum,जेजुनम,जेजुनम,जेजुनम
Ileum,इलियम,इलियम,इलियम
Large Intestine,बड़ी आंत,मोठं आतडं,महत आत
Cecum,सिकम,सिकम,सिकम
Colon,कोलन,कोलन,कोलन
Rectum,मलाशय,मलाशय,मलाशय
Anus,गुदा,गुदा,गुद
Liver,यकृत,यकृत,यकृत
Gallbladder,पित्ताशय,पित्ताशय,पित्ताशय
Pancreas,अग्न्याशय,अग्न्याशय,अग्न्याशय
Bile,पित्त,पित्त,पित्त
Enzyme,एंजाइम,एन्झाइम,एन्जाइम
Digestion,पाचन,पचन,पाचन
Absorption,अवशोषण,अवशोषण,अवशोषण
Metabolism,चयापचय,चय,उत्सर्जन
Nutrient,पोषक तत्व,पोषक घटक,पोषक
Protein,प्रोटीन,प्रथिने,प्रोटीन
Carbohydrate,कार्बोहाइड्रेट,कार्बोहायड्रेट,कार्बोहाइड्रेट
Fat,वसा,स्निग्ध,स्निग्ध
Vitamin,विटामिन,व्हिटॅमिन,विटामिन
Mineral,खनिज,खनिज,खनिज
Water,पानी,पाणी,जल
Fiber,रेशा,संपुट,रेश
Defecation,मल त्याग,मल सोडणे,मलत्याग
Constipation,कब्ज,कब्जी,कठिनता
Diarrhea,दस्त,स्तूल,अत्यधि
Gastroenteritis,पाचन तंत्र की सूजन,आतड्याचा संसर्ग,आमाशय शोथ
Ulcer,अल्सर,अल्सर,अल्सर
Heartburn,अम्लपित्त,अम्लपित्त,अम्लपित्त
Appendicitis,अपेंडिक्स का सूजन,अपेंडिक्स शोथ,अपेंडिक्स शोथ
Hepatitis,यकृतशोथ,यकृतशोथ,यकृतशोथ
Cirrhosis,जिगर फाइब्रोसिस,जिगर फिब्रोसिस,जिगर शोथ
Gallstones,पित्ताशय की पथरी,पित्ताशयातील दगड,पित्ताशय पथरी
Endocrine System,अंतःस्रावी तंत्र,अंतःस्रावी प्रणाली,अंतःस्रावी
Hormone,हार्मोन,स्राव,स्रव
Pituitary Gland,पिट्यूटरी ग्रंथि,पिट्यूटरी ग्रंथी,पिट्यूटरी ग्रंथी
Thyroid Gland,थायरॉइड ग्रंथि,थायरॉइड ग्रंथी,थायरॉइड ग्रंथी
Parathyroid Gland,पैराथायरॉइड ग्रंथि,पैराथायरॉइड ग्रंथी,पैराथायरॉइड ग्रंथी
Adrenal Gland,अधिवृक्क ग्रंथि,अधिवृक्क ग्रंथी,अधिवृक्क ग्रंथी
Pancreatic Islets,अग्न्याशय द्वीप,अग्न्याशयच्या बेट्या,अग्न्याशय द्वीप
Ovaries,अंडाशय,अंडीग्रंथी,अंडाशय
Testes,अंडकोष,अंडकोष,अंडकोष
Insulin,इंसुलिन,इन्सुलिन,इन्सुलिन
Glucagon,ग्लुकागन,ग्लुकागॉन,ग्लुकागन
Cortisol,कॉर्टिसोल,कॉर्टिसोल,कॉर्टिसोल
Adrenaline,एड्रेनालिन,अॅड्रेनालाईन,एड्रेनालिन
Thyroxine,थायरोक्सिन,थायरॉक्सिन,थायरोक्सिन
Endorphins,एंडॉर्फिन्स,एंडॉर्फिन्स,एंडॉर्फिन्स
Reproductive System,प्रजनन तंत्र,जनन प्रणाली,प्रजनन
Sperm,स्पर्म,स्पर्म,वीराणु
Egg,अंडाणु,अंडाणु,अंडाणु
Fertilization,उर्वरक,फर्टिलायझेशन,उर्वर
Zygote,जायगोट,जायगोट,जायगोट
Embryo,भ्रूण,भ्रूण,भ्रूण
Fetus,भ्रूण,भ्रूण,भ्रूण
Placenta,गर्भाशय,गर्भाशय,गर्भाशय
Menstruation,मासिक धर्म,मासिक पाळी,मासिक
Pregnancy,गर्भावस्था,गर्भधारणा,गर्भधारण
Labor,प्रसव,प्रसव,प्रसव
Delivery,संतानोत्पत्ति,संतानोत्पत्ति,संतानोत्पत्ति
Puberty,किशोरावस्था,किशोरावस्था,किशोरावस्था
Menopause,रजोनिवृत्ति,रजोनिवृत्ती,मासिकविराम
Contraception,गर्भनिरोध,गर्भनिरोधक,गर्भनिरोध
Sexually Transmitted Disease,यौन संचारित रोग,लैंगिक संक्रमण रोग,लैंगिक संक्रमण रोग
HIV,एचआईवी,एचआयव्ही,एचआयव्ही
AIDS,एड्स,एड्स,एड्स
Immune System,प्रतिरक्षा तंत्र,रोगप्रतिकारक प्रणाली,प्रतिरक्षा
